scheme_name,Scheme Codes,expense_ratio,risk_level,returns_1yr,returns_3yr,returns_5yr,Sub_Category,NAV,fund_description,embedding_index
Aditya Birla SL Equity Advantage Fund,100049,1.14,0.5,-9.9,22.3,7.9,Large & Mid Cap Funds,10.821,Aditya Birla SL Equity Advantage Fund - Large & Mid Cap Funds,11
Aditya Birla SL Equity Hybrid ’95 Fund,100051,1.01,0.5,-5.7,20.4,7.7,Aggressive Hybrid Mutual Funds,100.3328,Aditya Birla SL Equity Hybrid ’95 Fund - Aggressive Hybrid Mutual Funds,12
Aditya Birla SL Equity Savings Fund,100052,1.21,0.3,0.8,11.7,6.9,Equity Savings Mutual Funds,10.0,Aditya Birla SL Equity Savings Fund - Equity Savings Mutual Funds,13
Aditya Birla SL Flexi Cap Fund,100053,0.86,0.5,-2.1,25.0,10.4,Flexi Cap Funds,10.0,Aditya Birla SL Flexi Cap Fund - Flexi Cap Funds,14
Aditya Birla SL Floating Rate Fund,100054,0.23,0.1,5.8,6.4,6.8,Floater Mutual Funds,10.8119,Aditya Birla SL Floating Rate Fund - Floater Mutual Funds,15
Aditya Birla SL Focused Equity Fund,100055,1.06,0.5,-0.7,24.0,10.7,Focused Funds,32.2187,Aditya Birla SL Focused Equity Fund - Focused Funds,16
Aditya Birla SL FP FoF – Aggressive – Direct Growth,100056,0.22,0.5,2.5,21.7,10.7,FoFs Domestic,10.8838,Aditya Birla SL FP FoF – Aggressive – Direct Growth - FoFs Domestic,17
Aditya Birla SL FP FoF – Conservative – Direct Growth,100057,0.34,0.3,4.7,13.3,8.2,FoFs Domestic,11.3383,Aditya Birla SL FP FoF – Conservative – Direct Growth - FoFs Domestic,18
Aditya Birla SL FP FoF – Moderate – Direct Growth,100058,0.36,0.4,3.7,17.3,9.4,FoFs Domestic,78.7772,Aditya Birla SL FP FoF – Moderate – Direct Growth - FoFs Domestic,19
Aditya Birla SL Frontline Equity Fund,100059,1.03,0.5,1.6,26.3,10.6,Large Cap Mutual Funds,5.0,Aditya Birla SL Frontline Equity Fund - Large Cap Mutual Funds,20
Aditya Birla SL Gold Fund,100060,0.15,0.4,11.8,12.1,13.2,FoFs Domestic,11.612,Aditya Birla SL Gold Fund - FoFs Domestic,21
Aditya Birla SL Govt Securities Fund,100061,0.29,0.2,3.6,6.0,8.0,Gilt Mutual Funds,48.7047,Aditya Birla SL Govt Securities Fund - Gilt Mutual Funds,22
Aditya Birla SL Income Fund,100062,0.49,0.2,3.5,7.1,7.7,Medium to Long Duration Funds,23.7552,Aditya Birla SL Income Fund - Medium to Long Duration Funds,23
Aditya Birla SL India GenNext Fund,100063,0.82,0.5,4.6,25.0,13.3,Sectoral / Thematic Mutual Funds,205.19,Aditya Birla SL India GenNext Fund - Sectoral / Thematic Mutual Funds,24
Aditya Birla SL Infrastructure Fund,100064,1.7,0.5,13.5,35.6,9.2,Sectoral / Thematic Mutual Funds,1188.04,Aditya Birla SL Infrastructure Fund - Sectoral / Thematic Mutual Funds,25
Aditya Birla SL Inter Equity – Plan B-Direct Growth,100065,2.15,0.5,-4.1,22.7,7.6,Sectoral / Thematic Mutual Funds,30.44,Aditya Birla SL Inter Equity – Plan B-Direct Growth - Sectoral / Thematic Mutual Funds,26
Aditya Birla SL Liquid Fund,100066,0.21,0.2,5.7,4.4,5.4,Liquid Mutual Funds,163.49,Aditya Birla SL Liquid Fund - Liquid Mutual Funds,27
Aditya Birla SL Low Duration Fund,100067,0.39,0.2,5.7,6.5,7.0,Low Duration Funds,89.39,Aditya Birla SL Low Duration Fund - Low Duration Funds,28
Aditya Birla SL Manufacturing Equity Fund,100956,1.56,0.5,-2.9,21.7,6.8,Sectoral / Thematic Mutual Funds,207.78,Aditya Birla SL Manufacturing Equity Fund - Sectoral / Thematic Mutual Funds,29
Aditya Birla SL Medium Term Plan – Direct Growth,100970,0.86,0.3,22.1,14.5,8.6,Medium Duration Funds,45.2074,Aditya Birla SL Medium Term Plan – Direct Growth - Medium Duration Funds,30
Aditya Birla SL Midcap Fund,100971,1.2,0.5,-3.6,28.0,8.3,Mid Cap Mutual Funds,11.7159,Aditya Birla SL Midcap Fund - Mid Cap Mutual Funds,31
Aditya Birla SL Money Manager Fund,100972,0.21,0.2,5.6,5.6,6.4,Money Market Funds,30.4762,Aditya Birla SL Money Manager Fund - Money Market Funds,32
Aditya Birla SL Nifty 50 Index Fund,101313,0.32,0.5,0.7,25.5,11.6,Index Funds,23.2018,Aditya Birla SL Nifty 50 Index Fund - Index Funds,33
Aditya Birla SL Pure Value Fund,101314,1.12,0.5,3.0,29.8,4.3,Value Funds,227.0445,Aditya Birla SL Pure Value Fund - Value Funds,34
Aditya Birla SL Regular Savings Fund,101315,0.92,0.3,3.6,13.9,7.6,Conservative Hybrid Mutual Funds,10.9092,Aditya Birla SL Regular Savings Fund - Conservative Hybrid Mutual Funds,35
Aditya Birla SL Savings Fund,101316,0.34,0.2,5.5,5.8,6.5,Ultra Short Duration Funds,516.2757,Aditya Birla SL Savings Fund - Ultra Short Duration Funds,36
Aditya Birla SL Short Term Fund,101317,0.38,0.2,5.5,7.8,7.6,Short Duration Funds,533.5158,Aditya Birla SL Short Term Fund - Short Duration Funds,37
Aditya Birla SL Small Cap Fund,101318,1.04,0.5,-2.3,31.6,5.4,Small Cap Mutual Funds,11.3376,Aditya Birla SL Small Cap Fund - Small Cap Mutual Funds,38
Aditya Birla SL Tax Relief ’96 – Direct Growth,101591,0.93,0.5,-3.0,16.1,5.8,ELSS Mutual Funds,50.66,Aditya Birla SL Tax Relief ’96 – Direct Growth - ELSS Mutual Funds,39
AXIS Arbitrage Fund,112210,0.31,0.0,5.6,4.9,5.6,Arbitrage Mutual Funds,2843.6186,AXIS Arbitrage Fund - Arbitrage Mutual Funds,40
AXIS Balanced Advantage Fund,112211,0.7,0.5,1.2,12.4,8.0,Dynamic Asset Allocation or Balanced Advantage,1001.3998,AXIS Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,41
AXIS Banking & PSU Debt Fund,112212,0.33,0.2,4.5,6.4,7.2,Banking and PSU Mutual Funds,1002.6424,AXIS Banking & PSU Debt Fund - Banking and PSU Mutual Funds,42
AXIS Bluechip Fund,112213,0.63,0.5,-6.1,17.3,12.1,Large Cap Mutual Funds,1002.9056,AXIS Bluechip Fund - Large Cap Mutual Funds,43
AXIS Children’s Gift Fund,112214,1.06,0.5,-6.5,17.8,10.1,Childrens Funds,3007.6355,AXIS Children’s Gift Fund - Childrens Funds,44
AXIS Corporate Debt Fund,112215,0.22,0.2,4.9,7.5,7.3,Corporate Bond Mutual Funds,1013.2484,AXIS Corporate Debt Fund - Corporate Bond Mutual Funds,45
AXIS Credit Risk Fund,112216,0.81,0.3,5.4,7.4,6.8,Credit Risk Funds,1011.8959,AXIS Credit Risk Fund - Credit Risk Funds,46
AXIS Dynamic Bond Fund,112217,0.26,0.2,3.4,6.5,7.7,Dynamic Bond,1010.7623,AXIS Dynamic Bond Fund - Dynamic Bond,47
AXIS Equity Saver Fund,112277,0.88,0.3,1.4,12.7,8.8,Equity Savings Mutual Funds,54.85,AXIS Equity Saver Fund - Equity Savings Mutual Funds,48
AXIS Flexi Cap Fund,112278,0.7,0.5,-8.3,17.9,12.3,Flexi Cap Funds,17.32,AXIS Flexi Cap Fund - Flexi Cap Funds,49
AXIS Focused 25 Fund,112322,0.74,0.5,-14.7,14.8,8.9,Focused Funds,23.0878,AXIS Focused 25 Fund - Focused Funds,50
AXIS Gilt Fund,112323,0.39,0.2,4.0,5.9,7.9,Gilt Mutual Funds,86.3792,AXIS Gilt Fund - Gilt Mutual Funds,51
AXIS Gold Fund,112354,0.17,0.4,14.5,12.0,13.7,FoFs Domestic,29.8776,AXIS Gold Fund - FoFs Domestic,52
AXIS Liquid Fund,112355,0.15,0.1,5.7,4.3,5.4,Liquid Mutual Funds,10.2193,AXIS Liquid Fund - Liquid Mutual Funds,53
AXIS Long Term Equity Fund,112369,0.85,0.5,-11.1,15.7,9.4,ELSS Mutual Funds,10.4034,AXIS Long Term Equity Fund - ELSS Mutual Funds,54
AXIS Midcap Fund,112679,0.57,0.5,-2.5,25.2,15.8,Mid Cap Mutual Funds,10.7706,AXIS Midcap Fund - Mid Cap Mutual Funds,55
AXIS Regular Saver Fund,112680,0.86,0.3,1.8,10.9,7.0,Conservative Hybrid Mutual Funds,10.0,AXIS Regular Saver Fund - Conservative Hybrid Mutual Funds,56
AXIS Short Term Fund,112681,0.3,0.2,4.9,6.9,7.4,Short Duration Funds,0.0,AXIS Short Term Fund - Short Duration Funds,57
AXIS Small Cap Fund,112682,0.54,0.5,3.4,34.5,19.4,Small Cap Mutual Funds,0.0,AXIS Small Cap Fund - Small Cap Mutual Funds,58
AXIS Strategic Bond Fund,112683,0.39,0.3,5.2,7.4,7.4,Medium Duration Funds,10.0,AXIS Strategic Bond Fund - Medium Duration Funds,59
AXIS Treasury Advantage Fund,112684,0.29,0.1,5.3,5.9,6.6,Low Duration Funds,0.0,AXIS Treasury Advantage Fund - Low Duration Funds,60
AXIS Triple Advantage Fund,112712,0.72,0.5,-5.1,18.1,10.4,Multi Asset Allocation Mutual Funds,1000.9559,AXIS Triple Advantage Fund - Multi Asset Allocation Mutual Funds,61
Bandhan Asset Allocation FoF – Moderate – Direct Growth,118484,0.42,0.4,1.3,12.7,6.9,FoFs Domestic,30.9244,Bandhan Asset Allocation FoF – Moderate – Direct Growth - FoFs Domestic,62
Bank of India Balanced Advantage Fund,109255,2.07,0.5,13.6,12.1,5.1,Dynamic Asset Allocation or Balanced Advantage,1001.8288,Bank of India Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,63
Bank of India Conservative Hybrid Fund,109264,2.2,0.2,22.3,15.5,6.4,Conservative Hybrid Mutual Funds,1007.8677,Bank of India Conservative Hybrid Fund - Conservative Hybrid Mutual Funds,64
Bank of India Credit Risk Fund,109269,1.54,0.3,130.8,12.8,-4.1,Credit Risk Funds,3087.7585,Bank of India Credit Risk Fund - Credit Risk Funds,65
Bank of India Large & Mid Cap Equity Fund,110606,1.89,0.5,2.7,25.6,9.5,Large & Mid Cap Funds,76.92,Bank of India Large & Mid Cap Equity Fund - Large & Mid Cap Funds,66
Bank of India Liquid Fund,110607,0.18,0.1,5.7,4.3,5.3,Liquid Mutual Funds,22.96,Bank of India Liquid Fund - Liquid Mutual Funds,67
Bank of India Manufacturing & Infrastr Fund,110608,1.55,0.5,7.6,35.4,11.5,Sectoral / Thematic Mutual Funds,23.62,Bank of India Manufacturing & Infrastr Fund - Sectoral / Thematic Mutual Funds,68
Bank of India Mid & Small Cap Equity & Debt Fund,111585,1.92,0.5,-0.3,29.3,10.4,Aggressive Hybrid Mutual Funds,25.9866,Bank of India Mid & Small Cap Equity & Debt Fund - Aggressive Hybrid Mutual Funds,69
Bank of India Midcap Tax Fund,111589,0.95,0.5,-4.1,27.1,10.6,ELSS Mutual Funds,13.3349,Bank of India Midcap Tax Fund - ELSS Mutual Funds,70
Bank of India Short Term Income – Direct Growth,111590,0.98,0.1,28.3,8.8,4.0,Short Duration Funds,13.141,Bank of India Short Term Income – Direct Growth - Short Duration Funds,71
Bank of India Tax Advantage Fund,111709,1.31,0.5,0.9,29.0,13.2,ELSS Mutual Funds,154.25,Bank of India Tax Advantage Fund - ELSS Mutual Funds,72
Bank of India Ultra Short Duration Fund,111710,0.36,0.2,5.2,4.7,5.7,Ultra Short Duration Funds,142.74,Bank of India Ultra Short Duration Fund - Ultra Short Duration Funds,73
Baroda BNP Paribas Aggressive Hybrid Fund,113036,0.61,0.5,3.5,20.6,13.3,Aggressive Hybrid Mutual Funds,28.2854,Baroda BNP Paribas Aggressive Hybrid Fund - Aggressive Hybrid Mutual Funds,74
Baroda BNP Paribas Arbitrage Fund,119333,0.49,0.0,5.2,4.6,5.6,Arbitrage Mutual Funds,46.1107,Baroda BNP Paribas Arbitrage Fund - Arbitrage Mutual Funds,75
Baroda BNP Paribas Banking&Fin Serv Fund,119334,1.63,0.5,6.6,19.2,9.1,Sectoral / Thematic Mutual Funds,23.1834,Baroda BNP Paribas Banking&Fin Serv Fund - Sectoral / Thematic Mutual Funds,76
Baroda BNP Paribas Conservative Hybrid Fund,119340,0.78,0.3,3.7,9.2,7.7,Conservative Hybrid Mutual Funds,33.19,Baroda BNP Paribas Conservative Hybrid Fund - Conservative Hybrid Mutual Funds,77
Baroda BNP Paribas Corporate Bond Fund,119354,0.32,0.1,2.8,5.6,4.4,Corporate Bond Mutual Funds,284.6747,Baroda BNP Paribas Corporate Bond Fund - Corporate Bond Mutual Funds,78
Baroda BNP Paribas Credit Risk Fund,119399,0.78,0.3,5.7,10.9,7.6,Credit Risk Funds,10.3972,Baroda BNP Paribas Credit Risk Fund - Credit Risk Funds,79
Baroda BNP Paribas Dynamic Bond Fund,119400,0.71,0.2,5.2,5.7,6.6,Dynamic Bond,30.6366,Baroda BNP Paribas Dynamic Bond Fund - Dynamic Bond,80
Baroda BNP Paribas ELSS Fund,119415,1.12,0.5,-2.4,20.4,10.5,ELSS Mutual Funds,2973.741,Baroda BNP Paribas ELSS Fund - ELSS Mutual Funds,81
Baroda BNP Paribas Focused Fund,119416,0.67,0.5,0.5,23.1,9.9,Focused Funds,1218.9127,Baroda BNP Paribas Focused Fund - Focused Funds,82
Baroda BNP Paribas Gilt Fund,133488,0.14,0.2,3.7,4.9,6.8,Gilt Mutual Funds,23.5998,Baroda BNP Paribas Gilt Fund - Gilt Mutual Funds,83
Baroda BNP Paribas Large Cap Fund,133517,0.94,0.5,3.0,23.5,12.8,Large Cap Mutual Funds,11.2158,Baroda BNP Paribas Large Cap Fund - Large Cap Mutual Funds,84
Baroda BNP Paribas Liquid Fund,133518,0.19,0.1,5.7,4.4,5.4,Liquid Mutual Funds,11.8134,Baroda BNP Paribas Liquid Fund - Liquid Mutual Funds,85
Baroda BNP Paribas Low Duration Fund,133520,0.39,0.2,5.0,6.0,6.5,Low Duration Funds,14.1908,Baroda BNP Paribas Low Duration Fund - Low Duration Funds,86
Baroda BNP Paribas Medium Duration Fund,139344,0.69,0.2,3.9,5.0,3.5,Medium Duration Funds,1422.9738,Baroda BNP Paribas Medium Duration Fund - Medium Duration Funds,87
Baroda BNP Paribas Mid Cap Fund,140463,0.59,0.5,2.4,30.6,13.6,Mid Cap Mutual Funds,11.2386,Baroda BNP Paribas Mid Cap Fund - Mid Cap Mutual Funds,88
Baroda BNP Paribas Multi Cap Fund,142245,1.1,0.5,-1.7,28.8,12.3,Multi Cap Funds,1000.0,Baroda BNP Paribas Multi Cap Fund - Multi Cap Funds,89
Baroda BNP Paribas Short Duration Fund,142246,0.37,0.2,4.2,5.7,6.7,Short Duration Funds,1391.4327,Baroda BNP Paribas Short Duration Fund - Short Duration Funds,90
Canara Robeco Bluechip Equity Fund,100589,0.48,0.5,1.7,24.3,14.4,Large Cap Mutual Funds,15.84,Canara Robeco Bluechip Equity Fund - Large Cap Mutual Funds,91
Canara Robeco Conservative Hybrid Fund,100590,0.57,0.3,3.8,11.4,9.4,Conservative Hybrid Mutual Funds,54.83,Canara Robeco Conservative Hybrid Fund - Conservative Hybrid Mutual Funds,92
Canara Robeco Consumer Trends Fund,100593,1.0,0.5,7.1,26.7,15.1,Sectoral / Thematic Mutual Funds,43.57,Canara Robeco Consumer Trends Fund - Sectoral / Thematic Mutual Funds,93
Canara Robeco Corporate Bond Fund,100596,0.39,0.1,4.0,6.0,6.7,Corporate Bond Mutual Funds,15.18,Canara Robeco Corporate Bond Fund - Corporate Bond Mutual Funds,94
Canara Robeco Dynamic Bond Fund,100597,0.66,0.2,4.7,5.3,6.6,Dynamic Bond,73.2453,Canara Robeco Dynamic Bond Fund - Dynamic Bond,95
Canara Robeco Emerging Equities – Direct Growth,100600,0.6,0.5,-0.2,27.0,12.6,Large & Mid Cap Funds,12.9761,Canara Robeco Emerging Equities – Direct Growth - Large & Mid Cap Funds,96
Canara Robeco Equity Hybrid Fund,100601,0.63,0.5,1.8,20.1,12.2,Aggressive Hybrid Mutual Funds,91.8675,Canara Robeco Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,97
Canara Robeco Equity Tax Saver Fund,101361,0.64,0.5,1.2,27.7,15.5,ELSS Mutual Funds,1000.0,Canara Robeco Equity Tax Saver Fund - ELSS Mutual Funds,98
Canara Robeco Flexi Cap Fund,101362,0.55,0.5,-0.9,24.8,13.8,Flexi Cap Funds,2853.2956,Canara Robeco Flexi Cap Fund - Flexi Cap Funds,99
Canara Robeco Gilt Fund,101363,0.54,0.2,4.3,5.1,7.0,Gilt Mutual Funds,1005.5,Canara Robeco Gilt Fund - Gilt Mutual Funds,100
Canara Robeco Income Fund,101364,0.75,0.2,3.9,5.8,7.0,Medium to Long Duration Funds,1007.0,Canara Robeco Income Fund - Medium to Long Duration Funds,101
Canara Robeco Infrastructure – Direct Growth,101365,1.32,0.5,13.7,34.9,12.2,Sectoral / Thematic Mutual Funds,2769.6413,Canara Robeco Infrastructure – Direct Growth - Sectoral / Thematic Mutual Funds,102
Canara Robeco Liquid Fund,101587,0.11,0.1,5.6,4.1,5.1,Liquid Mutual Funds,14.9684,Canara Robeco Liquid Fund - Liquid Mutual Funds,103
Canara Robeco Savings Fund,101588,0.31,0.1,5.0,5.2,5.9,Low Duration Funds,53.9319,Canara Robeco Savings Fund - Low Duration Funds,104
Canara Robeco Short Duration Fund,101589,0.47,0.1,4.1,5.9,6.5,Short Duration Funds,13.6088,Canara Robeco Short Duration Fund - Short Duration Funds,105
Canara Robeco Ultra Short Term Fund,101922,0.4,0.1,5.2,4.5,5.3,Ultra Short Duration Funds,297.57,Canara Robeco Ultra Short Term Fund - Ultra Short Duration Funds,106
DSP Arbitrage Fund,100077,0.35,0.0,5.6,4.6,5.4,Arbitrage Mutual Funds,12.0348,DSP Arbitrage Fund - Arbitrage Mutual Funds,107
DSP Banking & Psu Debt Fund,100078,0.33,0.1,4.0,6.4,6.9,Banking and PSU Mutual Funds,78.8946,DSP Banking & Psu Debt Fund - Banking and PSU Mutual Funds,108
DSP Bond Fund,100079,0.39,0.2,3.8,6.1,4.9,Medium Duration Funds,11.1186,DSP Bond Fund - Medium Duration Funds,109
DSP Credit Risk Fund,100080,0.38,0.3,10.8,6.6,4.5,Credit Risk Funds,61.462,DSP Credit Risk Fund - Credit Risk Funds,110
DSP Dynamic Asset Allocation Fund,100081,0.71,0.4,1.7,12.2,8.3,Dynamic Asset Allocation or Balanced Advantage,326.957,DSP Dynamic Asset Allocation Fund - Dynamic Asset Allocation or Balanced Advantage,111
DSP Equity & Bond Fund,100082,0.78,0.5,0.6,18.7,10.7,Aggressive Hybrid Mutual Funds,28.181,DSP Equity & Bond Fund - Aggressive Hybrid Mutual Funds,112
DSP Equity Opportunities Fund,100084,0.91,0.5,3.2,31.6,11.7,Large & Mid Cap Funds,92.6972,DSP Equity Opportunities Fund - Large & Mid Cap Funds,113
DSP Equity Savings Fund,100085,0.4,0.3,4.0,14.6,7.8,Equity Savings Mutual Funds,12.3069,DSP Equity Savings Fund - Equity Savings Mutual Funds,114
DSP Flexi Cap Fund,100086,0.76,0.5,-0.1,22.8,12.0,Flexi Cap Funds,10.6593,DSP Flexi Cap Fund - Flexi Cap Funds,115
DSP Focus Fund,100087,1.08,0.5,-1.7,20.4,8.9,Focused Funds,51.3378,DSP Focus Fund - Focused Funds,116
DSP G-Sec Fund,100088,0.54,0.2,4.4,5.9,8.6,Gilt Mutual Funds,12.5088,DSP G-Sec Fund - Gilt Mutual Funds,117
DSP India T.I.G.E.R. Fund,100089,1.34,0.5,15.8,36.4,11.9,Sectoral / Thematic Mutual Funds,10.9291,DSP India T.I.G.E.R. Fund - Sectoral / Thematic Mutual Funds,118
DSP Liquidity Fund,100090,0.15,0.2,5.6,4.3,5.3,Liquid Mutual Funds,50.203,DSP Liquidity Fund - Liquid Mutual Funds,119
DSP Low Duration Fund,100940,0.3,0.1,5.1,5.5,6.3,Low Duration Funds,39.1078,DSP Low Duration Fund - Low Duration Funds,120
DSP Midcap Fund,100941,0.77,0.5,-3.9,21.1,9.5,Mid Cap Mutual Funds,12.4125,DSP Midcap Fund - Mid Cap Mutual Funds,121
DSP Natural Resources & New Energy – Direct Growth,100943,1.21,0.5,-0.7,44.3,12.0,Sectoral / Thematic Mutual Funds,10.0117,DSP Natural Resources & New Energy – Direct Growth - Sectoral / Thematic Mutual Funds,122
DSP Nifty 50 Equal Weight Index Fund,101303,0.4,0.5,2.2,30.9,10.7,Index Funds,10.191,DSP Nifty 50 Equal Weight Index Fund - Index Funds,123
DSP Regular Savings Fund,101304,0.51,0.2,3.0,10.8,6.0,Conservative Hybrid Mutual Funds,45.1325,DSP Regular Savings Fund - Conservative Hybrid Mutual Funds,124
DSP Savings Fund,101305,0.25,0.2,5.0,5.3,5.9,Money Market Funds,12.7637,DSP Savings Fund - Money Market Funds,125
DSP Short Term Fund,101306,0.3,0.1,4.1,6.1,6.7,Short Duration Funds,11.5474,DSP Short Term Fund - Short Duration Funds,126
DSP Small Cap Fund,101635,0.9,0.5,0.7,38.9,12.5,Small Cap Mutual Funds,429.827,DSP Small Cap Fund - Small Cap Mutual Funds,127
DSP Strategic Bond Fund,101636,0.47,0.1,3.0,5.4,7.3,Dynamic Bond,25.97,DSP Strategic Bond Fund - Dynamic Bond,128
DSP Tax Saver Fund,101742,0.81,0.5,1.8,28.8,13.3,ELSS Mutual Funds,19.4774,DSP Tax Saver Fund - ELSS Mutual Funds,129
DSP Top 100 Equity Fund,101743,1.27,0.5,3.6,21.8,8.9,Large Cap Mutual Funds,11.2459,DSP Top 100 Equity Fund - Large Cap Mutual Funds,130
DSP Ultra Short Fund,101744,0.3,0.1,5.5,4.9,5.5,Ultra Short Duration Funds,11.7088,DSP Ultra Short Fund - Ultra Short Duration Funds,131
Edelweiss Aggressive Hybrid Fund,109934,0.36,0.5,6.5,24.6,13.0,Aggressive Hybrid Mutual Funds,1000.0,Edelweiss Aggressive Hybrid Fund - Aggressive Hybrid Mutual Funds,132
Edelweiss Arbitrage Fund,109935,0.37,0.0,5.8,5.0,5.7,Arbitrage Mutual Funds,1000.0,Edelweiss Arbitrage Fund - Arbitrage Mutual Funds,133
Edelweiss Balanced Advantage Fund,109936,0.51,0.5,2.9,18.5,12.0,Dynamic Asset Allocation or Balanced Advantage,1000.848,Edelweiss Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,134
Edelweiss Banking & Psu Debt Fund,109937,0.26,0.2,3.5,6.9,7.9,Banking and PSU Mutual Funds,1000.8565,Edelweiss Banking & Psu Debt Fund - Banking and PSU Mutual Funds,135
Edelweiss Equity Savings Fund,109938,0.7,0.3,4.4,12.1,9.0,Equity Savings Mutual Funds,1001.4686,Edelweiss Equity Savings Fund - Equity Savings Mutual Funds,136
Edelweiss Flexi Cap Fund,109939,0.56,0.5,1.9,27.5,12.1,Flexi Cap Funds,1003.9185,Edelweiss Flexi Cap Fund - Flexi Cap Funds,137
Edelweiss Govt Securities Fund,109940,0.66,0.2,4.3,6.8,8.2,Gilt Mutual Funds,1706.3476,Edelweiss Govt Securities Fund - Gilt Mutual Funds,138
Edelweiss Large & Mid Cap Fund,109941,0.6,0.5,1.2,27.8,13.2,Large & Mid Cap Funds,1000.3472,Edelweiss Large & Mid Cap Fund - Large & Mid Cap Funds,139
Edelweiss Large Cap Fund,109942,0.93,0.5,4.9,26.0,12.8,Large Cap Mutual Funds,1000.9807,Edelweiss Large Cap Fund - Large Cap Mutual Funds,140
Edelweiss Liquid Fund,109944,0.15,0.2,5.6,4.4,5.4,Liquid Mutual Funds,1004.5203,Edelweiss Liquid Fund - Liquid Mutual Funds,141
Edelweiss Long Term Equity Fund,109945,0.69,0.5,0.9,25.6,10.2,ELSS Mutual Funds,1069.4568,Edelweiss Long Term Equity Fund - ELSS Mutual Funds,142
Edelweiss Mid Cap Fund,109946,0.57,0.5,4.9,35.5,14.0,Mid Cap Mutual Funds,1523.6438,Edelweiss Mid Cap Fund - Mid Cap Mutual Funds,143
Edelweiss Money Market Fund,109949,0.26,0.1,4.9,4.7,7.3,Money Market Funds,1844.0143,Edelweiss Money Market Fund - Money Market Funds,144
Edelweiss Recently Listed IPO Fund,109950,0.61,0.5,-13.8,24.3,10.9,Sectoral / Thematic Mutual Funds,1011.0079,Edelweiss Recently Listed IPO Fund - Sectoral / Thematic Mutual Funds,145
Franklin Build India Fund,100470,1.3,0.5,16.0,36.1,13.3,Sectoral / Thematic Mutual Funds,42.1043,Franklin Build India Fund - Sectoral / Thematic Mutual Funds,146
Franklin India Banking & PSU Debt Fund,100471,0.16,0.1,4.2,6.1,7.2,Banking and PSU Mutual Funds,912.9729,Franklin India Banking & PSU Debt Fund - Banking and PSU Mutual Funds,147
Franklin India Bluechip Fund,100472,1.01,0.5,-1.0,25.1,9.7,Large Cap Mutual Funds,88.8088,Franklin India Bluechip Fund - Large Cap Mutual Funds,148
Franklin India Corporate Debt Fund,100473,0.21,0.1,4.4,6.3,7.0,Corporate Bond Mutual Funds,2402.189,Franklin India Corporate Debt Fund - Corporate Bond Mutual Funds,149
Franklin India Debt Hybrid Fund,100481,0.57,0.3,5.1,9.8,7.0,Conservative Hybrid Mutual Funds,40.5585,Franklin India Debt Hybrid Fund - Conservative Hybrid Mutual Funds,150
